episode,classical_reward,quantum_reward
0,0.6000000000000001,-1.24
1,-1.08,-1.16
2,0.6000000000000001,-1.48
3,-1.6400000000000001,-1.6400000000000001
4,-1.08,-1.04
5,0.56,-1.04
6,-1.08,-1.2
7,-1.3599999999999999,-2.4400000000000004
8,-1.44,-1.16
9,-1.3599999999999999,0.52
10,-1.8800000000000003,0.88
11,-1.04,-1.7600000000000002
12,0.0399999999999997,-0.28000000000000047
13,-1.32,-1.32
14,0.07999999999999974,0.76
15,0.36,0.8
16,0.23999999999999988,-1.12
17,-1.56,0.88
18,0.8,-2.220446049250313e-16
19,-1.2,-1.04
20,-1.8400000000000003,0.8
21,-1.16,0.88
22,0.84,0.64
23,0.84,-1.16
24,0.84,0.88
25,0.76,-1.04
26,0.84,-1.8400000000000003
27,0.8,0.84
28,0.88,0.88
29,0.88,-1.08
30,0.76,0.88
31,-1.12,0.88
32,0.88,0.88
33,0.19999999999999984,0.88
34,0.88,0.23999999999999988
35,0.88,0.8
36,0.72,0.88
37,0.84,0.88
38,-1.12,-1.24
39,0.88,0.88
40,0.76,0.88
41,0.31999999999999995,0.88
42,0.88,0.88
43,0.88,0.88
44,0.23999999999999988,0.76
45,0.84,0.88
46,0.6799999999999999,0.23999999999999988
47,0.64,0.8
48,0.88,0.88
49,0.64,0.84
50,0.52,0.88
51,0.84,0.8
52,0.0399999999999997,0.88
53,-0.2000000000000004,0.88
54,0.56,-0.16000000000000036
55,-242.39999999998585,0.88
56,0.2799999999999999,0.88
57,0.88,0.84
58,-85.12000000000226,0.88
59,-144.96000000000524,0.84
60,0.88,-1.8000000000000003
61,0.88,0.64
62,0.44000000000000006,-2.000000000000001
63,0.88,0.6000000000000001
64,0.88,0.88
65,0.23999999999999988,0.88
66,0.88,0.88
67,0.88,0.88
68,0.88,0.88
69,-294.3600000000035,0.88
70,0.88,0.72
71,0.88,0.88
72,-1465.8399999992478,0.76
73,0.23999999999999988,0.8
74,0.88,0.6000000000000001
75,-2.5600000000000023,0.88
76,0.6799999999999999,0.88
77,-7.759999999999989,-1.24
78,0.56,0.88
79,-0.48000000000000065,0.88
80,0.88,0.88
81,-15.479999999999867,0.88
82,-1.8000000000000016,0.88
83,-32.879999999999455,0.88
84,-10.559999999999972,0.88
85,-18.19999999999977,0.88
86,-60.639999999998906,0.64
87,-83.28000000000166,0.88
88,-20.439999999999763,0.88
89,-9.239999999999958,0.88
90,-25.759999999999607,0.88
91,0.6799999999999999,0.88
92,0.56,0.88
93,-0.7600000000000009,0.88
94,-0.12000000000000033,0.88
95,-2.360000000000002,0.88
96,-71.44000000000013,0.88
97,-5.280000000000005,0.88
98,-13.239999999999872,0.88
99,-2.240000000000002,0.88
100,-8.160000000000005,0.88
101,0.56,0.88
102,0.52,0.88
103,-0.4400000000000006,0.88
104,0.8,0.88
105,0.44000000000000006,0.88
106,0.64,0.88
107,-2.220446049250313e-16,0.8
108,-0.16000000000000036,0.88
109,0.23999999999999988,0.88
110,0.88,0.72
111,-0.48000000000000065,0.8
112,-0.28000000000000047,0.88
113,-0.48000000000000065,0.88
114,-17.59999999999978,0.88
115,-6.000000000000005,0.88
116,-29.679999999999524,0.88
117,-3.160000000000003,0.88
118,0.84,0.88
119,-1.9200000000000017,0.88
120,-1.9600000000000017,0.88
121,0.84,0.88
122,0.8,0.88
123,0.88,0.8
124,0.8,0.88
125,0.88,0.88
126,0.8,0.76
127,0.88,0.88
128,0.88,0.88
129,0.72,0.88
130,0.88,0.88
131,0.88,0.88
132,0.88,0.88
133,0.88,0.88
134,0.88,0.88
135,0.88,0.72
136,0.88,0.52
137,0.88,0.88
138,0.88,0.88
139,0.88,0.88
140,0.88,0.84
141,0.88,0.88
142,0.72,0.88
143,-0.48000000000000065,0.88
144,0.88,0.88
145,0.88,0.88
146,0.88,0.88
147,0.88,0.88
148,0.88,0.88
149,0.88,0.88
150,0.88,0.88
151,0.88,0.88
152,0.88,0.72
153,0.88,0.88
154,0.8,0.56
155,0.88,0.88
156,0.88,0.88
157,0.88,0.56
158,0.88,0.23999999999999988
159,0.88,0.88
160,0.88,0.76
161,0.88,0.88
162,0.88,0.88
163,0.88,0.88
164,0.6000000000000001,0.88
165,-0.28000000000000047,0.88
166,-1.6400000000000015,0.88
167,-34.63999999999942,0.88
168,-19.359999999999744,0.88
169,-1.2800000000000011,0.88
170,0.88,0.88
171,0.88,0.88
172,0.84,0.88
173,0.76,-1.12
174,0.76,0.88
175,0.88,0.88
176,0.88,0.88
177,0.64,0.88
178,0.88,0.88
179,0.88,0.88
180,0.88,0.88
181,0.8,0.88
182,0.6799999999999999,0.88
183,0.88,0.88
184,0.88,0.88
185,0.76,0.88
186,0.88,0.88
187,0.64,0.88
188,0.88,0.88
189,0.88,0.88
190,0.76,0.88
191,0.88,0.88
192,0.88,0.88
193,0.88,0.88
194,0.4,0.88
195,0.88,0.88
196,0.88,0.88
197,0.88,0.88
198,0.88,0.88
199,0.88,0.88
